grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.6023847741343727,0.7607407407407407,0.7632254750898818,1.0,0.7087836633216651
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.6023847741343727,0.7325925925925927,0.7611710323574731,1.0,0.6987161330281463
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.6058243522127953,0.7325925925925927,0.74884437596302,1.0,0.6957537735894693
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.6010089429030039,0.7288888888888889,0.7539804827940421,1.0,0.6946261048619782
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.6010089429030039,0.7518518518518519,0.7693888032871085,1.0,0.7074165326806549
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.6010089429030039,0.754074074074074,0.7508988186954288,1.0,0.7019939452241689
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.6379270809447374,0.7422222222222222,0.795582948125321,1.0,0.7252440837640936
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6182068332951157,0.7303703703703703,0.7411402157164868,1.0,0.6965724731273243
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6182068332951157,0.7496296296296296,0.7457627118644068,1.0,0.7045330582630506
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6182068332951157,0.7333333333333334,0.7544940934771442,1.0,0.7020114200351978
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6026140793396011,0.7303703703703704,0.7550077041602465,1.0,0.6959973846234061
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.6044485209814263,0.7125925925925927,0.7262455059065228,1.0,0.6810955398268472
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.611098371933043,0.7355555555555555,0.7360041088854649,1.0,0.6942193454580211
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.611098371933043,0.7348148148148148,0.7375449409347714,1.0,0.6944860425608764
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.6010089429030039,0.7340740740740741,0.7447354904982024,1.0,0.6932728358250935
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.6099518459069021,0.7437037037037038,0.7390857729840781,1.0,0.6975804408648947
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.6099518459069021,0.7444444444444445,0.7226502311248073,1.0,0.6923488404920514
"{'alpha': 2, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.6099518459069021,0.7422222222222222,0.7416538263995891,1.0,0.6979426315095711
